survey,consent,opt_out_understand,date,village,cookstove_number,Column1,18_or_older,primary_cook,electrical_connection,functional_connection,hr_elec_day_high,hr_elec_day_low,own_phone,gender,age,household_total,household_women,household_men,household_girls,household_boys,commercial_cooking,n_phones,n_rooms,separate_kitchen,collect_or_purchase,collect_or_purchase2,collect_or_purchase3,collection_per_week_low,collection_per_week_high,collection_per_week_mean,hr_collection_wk_low,hr_collection_wk_high,hr_collection_wk_mean,money_wood_wk_low,money_wood_wk_low2,money_wood_wk_mean,paid_to_charge,paid_charge_times,paid_charge_per,paid_charge_other,paid_charge_fee_low,paid_charge_fee_high,where_charge_home,where_charge_others_home,where_charge_business,where_charge_taxi,where_charge_solar,where_charge_other,stoves_in_home_shakti,stoves_in_home_chulha,stoves_in_home_tsf,stoves_in_home_metal_charcoal,stoves_in_home_metal_wood,stoves_in_home_kerosene,stoves_in_home_lpg,stoves_in_home_electric,stoves_in_home_solar,stoves_in_home_other,fuels_in_home_wood,fuels_in_home_charcoal,fuels_in_home_dung,fuels_in_home_crop,fuels_in_home_kerosene,fuels_in_home_lpg,fuels_in_home_electricity,fuels_in_home_solar,fuels_in_home_other,primary_food_stove_shakti,primary_food_stove_chulha,primary_food_stove_tsf,primary_food_stove_metal_charcoal,primary_food_stove_metal_wood,primary_food_stove_kerosense,primary_food_stove_lpg,primary_food_stove_electric,primary_food_stove_solar,primary_food_stove_other,primary_tea_stove_shakti,primary_tea_stove_chulha,primary_tea_stove_tsf,primary_tea_stove_metal_charcoal,primary_tea_stove_metal_wood,primary_tea_stove_kerosene,primary_tea_stove_lpg,primary_tea_stove_electric,primary_tea_stove_solar,primary_tea_stove_other,primary_fuel_food_wood,primary_fuel_food_charcoal,primary_fuel_food_dung,primary_fuel_food_crop,primary_fuel_food_kerosene,primary_fuel_food_lpg,primary_fuel_food_electricity,primary_fuel_food_solar,primary_fuel_food_other,primary_fuel_tea_wood,primary_fuel_tea_charcoal,primary_fuel_tea_dung,primary_fuel_tea_crop,primary_fuel_tea_kerosense,primary_fuel_tea_lpg,primary_fuel_tea_electricity,primary_fuel_tea_solar,primary_fuel_tea_other,worst_thing_shakti_1,worst_thing_shakti_2,worst_thing_shakti_3,worst thing: size,worst thing: fuel loading,worst thing: fuel prep,worst thing: type or volume of food can't be cooked,worst thing: no usb,rate_size,rate_stability,rate_fuel_prep,rate_appearance,rate_complexity,rate_fuel_addition,best_thing_shakti_1,best_thing_shakti_2,best_thing_shakti_3,best thing: fast cooking,best thing: less smoke,best thing: less wood,best thing: charging,best thing: trasport,best thing: fan,rate_smoke,rate_usb_charging_family,rate_usb_charging_others,rate_fan,rate_fuel_consumption,rate_cooking_speed,rate_showing_off,better_worse_tea,better_worse_curry,better_worse_upma,better_worse_khichiri,better_worse_rice,better_worse_saimi,better_worse_dal,rate_overall,purchase_price,average purchase price numeric,rental_price,average rental price,notes
baseline,yes,yes,12/7/14,village2,B-10,B,yes,yes,no,,,,yes,female,40,6,2,4,0,0,no,1,2,no,,,both,2,,2,7,8,7.5,50,,50,yes,2,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,crop residues,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,crop residues,,,,,,size is small,adding fuel from top putting the pot down frequently,can not put big pots,1,1,,,,5,4,4,6,4,5,quick to cook,less smoke,less wood required,,,,,,,6,,,5,5,4,4,better,worse,better,better,worse,better,worse,6,Rs 200 to Rs 400,,Rs. 50 to Rs 60,,take all responsibility and not allow any breakage
baseline,yes,yes,12/7/14,village2,B-04,B,yes,yes,no,,,,yes,female,32,8,2,1,4,1,no,2,4,yes,,,both,1,,1,6,,6,50,,50,yes,2,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,no USB for charging my phone. so feel bad,,1,,,,1,3,2,6,5,7,6,less smoke emitted,as the fan is fitted in the cullah,easy to cook tea,,,,,,,6,,,5,6,3,5,better,better,better,worse,worse,better,better,6,yes Rs 200,,no,,assures safety of chulla
baseline,yes,yes,11/23/14,village1,B-04,B,yes,yes,no,no,,,yes,female,55,5,2,2,0,1,no,1,2,no,,,both,3,,3,5,,5,60,,60,yes,0.75,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,dung,crop residues,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,small in size and can not cook with bigger utensil,adding fuel is bit difficult,,1,1,,,,1,1,3,3,6,6,charging of Mobile and light is possible,less smoke,wood consumption is less,,,,,,,7,6,5,7,7,5,5,better,better,better,worse,worse,better,worse,6,"yes interested, but not sure of its availability. Can afford to pay upto Rs. 500/-",,No Not interested,,
baseline,yes,yes,11/23/14,village1,B-07,B,yes,yes,no,no,,,yes,female,42,4,1,2,0,1,no,1,3,yes,collect,,,4,,4,6,7,6.5,,,,yes,3,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,not good in comparison to the earthen chulla,frequently adding fuel is a problem,too small in size,1,1,,,,1,5,6,7,6,3,less time for cooking,less smoke,fit for small family,,,,,,,7,,,6,5,7,5,better,better,better,worse,worse,better,worse,6,Not able to purchase,,Not interested,,
baseline,yes,yes,12/7/14,village2,B-01,B,yes,yes,no,,,,yes,female,28,4,1,2,1,0,no,1,2,yes,collect,,,2,,2,4,,4,,,,yes,3,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is too small,no USB,,1,,,,1,3,5,5,7,6,5,took less time to have fire in it,less wood is required,,,,,,,,6,,,5,5,6,5,better,better,better,better,worse,better,worse,5,yes Rs.300 to 400,,Rs 10,,
baseline,yes,yes,11/23/14,village1,B-01,B,yes,yes,no,no,,,yes,female,35,6,1,1,3,1,no,1,1,no,collect,,,2,,2,8,,8,,,,no,2,week,charging without paying money,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,can not cook for more members,repeatedly one has to add fuel,too small in size,1,1,,1,,3,3,4,7,6,6,less smoke,less time spent for cooking,easy to transfer,,,,,,,7,,,7,7,7,6,better,worse,better,better,better,better,worse,6,If available can pay Rs.200/-,,Rs. 10/- can be given as weekly hiring charge,,
baseline,yes,yes,11/23/14,village1,B-02,B,yes,yes,no,no,,,yes,female,32,6,1,1,3,1,no,1,2,no,collect,,,2,3,2.5,6,,6,,,,yes,2,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,not fit for big family,as there is no USB charging,1,,,1,1,2,3,5,6,7,6,fit for prparing tea and snacks,good to see,less fuel consumption,,,,,,,6,,,7,6,7,6,better,better,better,worse,worse,better,worse,6,has interest if it is available at Rs.300/-,,Not interested to take on hire,,bit sad as it has no USB charging system
baseline,yes,yes,12/21/14,village3,B-08,B,yes,yes,no,no,,,yes,female,45,6,1,1,3,1,no,1,3,no,collect,,,2,3,2.5,6,,6,,,,yes,2,week,,5,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is too small,only suitable to cook for less people,frequently lifting the pot from the chulla and adding fuel is not interesting,1,1,,,,2,5,7,6,5,6,less smoke emitted,less wood is required,easy to operate as there is fan,,,,,,,7,,,5,6,5,4,better,better,better,worse,worse,better,worse,5,not interested,,not interested,,use carefully and return
baseline,yes,yes,11/23/14,village1,B-09,B,yes,yes,no,no,,,yes,female,32,4,1,1,1,1,no,1,2,yes,collect,,,2,,2,6,7,6.5,,,,yes,4,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,small in size and can not cook with bigger utensil,difficult to sit for longer period at the stove,as there is no USB charging,1,,,,1,4,3,6,5,7,7,less smoke,fit for small family,less fuel consumption,,,,,,,7,,,7,6,5,3,better,better,better,worse,worse,better,worse,4,Not interested. But the price would be Rs. 300/ what I asses,,Not interested,,
baseline,yes,yes,12/7/14,village2,B-08,B,yes,yes,no,,,,yes,female,35,4,1,1,1,1,no,1,2,no,collect,,,2,,2,2,,2,,,,yes,4,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,not fit for cooking food for more people,frequently lifting the pot from the chulla and adding fuel is not interesting,1,1,,1,,6,5,6,7,5,4,less smoke emitted,less wood is required,quick cooking,,,,,,,7,,,6,7,7,4,better,worse,better,better,worse,better,worse,5,yes if within Rs 500,,Rs 15,,
baseline,yes,yes,12/21/14,village3,B-05,B,yes,yes,no,,,,yes,female,32,4,1,1,1,1,no,1,2,yes,collect,,,3,,3,5,,5,,,,yes,2,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently is irritating,too small in size,diifficult to cook rice,1,1,,1,,4,6,6,7,5,3,nice to see no smoke,less wood is required,quick cooking,,,,,,,7,,,5,4,5,4,better,better,better,worse,worse,better,worse,5,no,,no,,will not harm anything
baseline,yes,yes,12/21/14,village3,B-09,B,yes,yes,no,no,,,yes,female,28,4,1,1,1,1,no,1,3,no,collect,,,2,3,2.5,6,7,6.5,,,,yes,2,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,no USB in my chulla and I feel bad,do not feel good to add fuel frequently,,,1,,,1,7,6,5,4,3,6,less smoke emitted,as the fan is fitted in the cullah,easy to cook for less number people,,,,,,,7,,,5,6,5,4,better,better,better,worse,worse,better,worse,5,not interested,,no,,keep carefully and return after two weeks
baseline,yes,yes,12/7/14,village2,B-05,B,yes,yes,no,,,,yes,female,39,3,1,1,0,1,no,1,2,no,collect,,,2,,2,4,,4,,,,yes,2,week,,5,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,feel different as it is new for us,no USB for charging my phone. so feel bad,,,,,,1,7,3,6,5,4,7,less smoke emitted,less wood is required,easy to operate as there is fan,,,,,,,7,,,6,5,3,3,better,better,better,better,worse,better,worse,5,yes Rs. 300,,no,,will take care of the chulla
baseline,yes,yes,12/21/14,village3,B-06,B,yes,yes,no,,,,yes,female,30,3,1,1,0,1,no,1,2,no,collect,,,2,,2,7,,7,,,,yes,2,week,,5,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,no USB for charging my phone. so feel bad,not possible to cook for more people,1,1,,1,1,7,5,4,7,5,5,less wood required,quick to cook,less smoke emited,,,,,,,5,,,6,7,7,5,better,worse,better,better,better,better,worse,5,Rs. 500,,Rs 20,,
baseline,yes,yes,11/23/14,village1,B-05,B,yes,yes,no,no,,,yes,female,25,7,1,1,3,2,no,1,3,no,collect,,,1,,1,7,,7,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,not able to cook for more number of people,frequently adding fuel is a problem,too small in size,1,1,,1,,4,6,6,7,6,3,less smoke,less fuel consumption and quick cooking,easy to transport,,,,,,,7,,,7,7,7,6,better,worse,better,better,worse,worse,better,6,Maximum Rs 200 can be paid for the Chulla,,Weekly Rs. 10/- is appropriate,,
baseline,yes,yes,11/23/14,village1,B-10,B,yes,yes,no,no,,,yes,female,35,7,1,1,3,2,no,1,3,no,collect,,,2,,2,8,,8,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel time and again,too small in size,not fit for a family having more number of people,1,1,,1,,3,3,3,7,6,4,less smoke,less fuel consumption and quick cooking,easy to transfer,,,,,,,7,,,7,7,7,6,better,better,better,better,better,better,better,6,Not interested. Can not say about the cost,,Not interested,,
baseline,yes,yes,11/23/14,village1,B-12,B,yes,yes,no,no,,,yes,female,30,7,1,1,3,2,no,1,3,no,collect,,,2,,2,8,,8,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,can not cook for more members,frequently adding fuel is a problem,as there is no USB charging,,1,,1,1,6,6,4,7,6,3,less smoke,less fuel consumption and quick cooking,less fuel consumption,,,,,,,7,,,7,7,6,6,better,better,better,better,worse,better,better,6,Not interested to purchase. Not able to guess the price,,Not interested,,
baseline,yes,yes,11/23/14,village1,B-11,B,yes,yes,no,no,,,yes,female,30,6,1,1,2,2,no,1,2,no,collect,,,2,,2,8,,8,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel time and again,not fit for big family,too small in size,1,1,,1,,2,3,3,7,6,3,less smoke,less time spent for cooking,easy to transport,,,,,,,7,,,7,7,7,6,better,worse,better,better,worse,worse,better,6,Not interested. Can not say about the cost,,Not interested,,
baseline,yes,yes,11/23/14,village1,B-08,B,yes,yes,no,no,,,yes,female,39,5,1,1,1,2,no,1,2,no,collect,,,3,,3,6,7,6.5,,,,yes,5,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is difficult to sit for a longer period at the stove,not having the USB,not fit for a family having more number of people,,,,1,1,6,5,6,7,3,7,less smoke,less fuel consumption and quick cooking,fit for small family,,,,,,,7,,,6,7,5,4,better,better,better,better,better,better,worse,6,Interested if the cost will be Rs. 100/-,,Not interested,,
baseline,yes,yes,12/21/14,village3,B-07,B,yes,yes,yes,yes,4,5,yes,female,31,5,1,1,1,2,no,1,3,no,collect,,,2,3,2.5,6,,6,,,,yes,1,week,,5,,your home (grid),someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,adding fuel frequently,no USB facility,1,1,,,1,2,6,5,4,4,4,less smoke emitted,as the fan is fitted in the cullah no need to give air,good for cooking tea and breakfast,,,,,,,7,,,5,6,4,5,better,better,better,better,worse,better,worse,6,Rs 200,,love to get it at Rs 20,,keep it safely and return in good condition
baseline,yes,yes,12/21/14,village3,B-04,B,yes,yes,no,,,,yes,female,35,6,1,1,0,4,no,1,2,no,collect,,,2,3,2.5,6,,6,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,problem in making the fuel small pieces and adding it frequently,,1,1,1,,,6,5,3,4,5,6,less smoke emitted,fit for less people,good for cooking tea,,,,,,,7,,,5,4,3,6,better,better,better,better,worse,better,worse,4,if available at Rs 200,,No,,take care of the chulla
baseline,yes,yes,11/23/14,village1,B-06,B,yes,yes,no,no,,,yes,female,35,9,1,1,1,6,no,1,2,no,collect,,,2,,2,8,,8,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,not fit for cooking for more people,too small in size,making small pieces of wood,1,,1,1,,6,4,6,7,6,4,less time for cooking,less fuel consumption and quick cooking,less smoke,,,,,,,7,,,7,7,6,5,better,worse,better,better,worse,worse,better,,Interested. Can afford at best Rs. 500/-,,Weekly Rs. 10,,
baseline,yes,yes,12/7/14,village2,B-03,B,yes,yes,no,,,,yes,female,29,5,1,1,3,0,no,1,1,no,collect,,,2,,2,4,,4,,,,yes,2,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,no USB,,1,,,,1,3,5,5,7,4,5,quick to cook,less wood is required,less smoke emited,,,,,,,5,,,5,5,5,6,better,better,better,better,worse,better,worse,5,no,,no,,
baseline,yes,yes,12/21/14,village3,B-03,B,yes,yes,no,,,,yes,female,25,4,1,1,2,0,no,1,2,yes,collect,,,2,,2,4,,4,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently is irritating,only suitable to cook for less people,no USB facility,,1,,1,1,3,5,4,7,5,6,quick to cook,less smoke,easy to operate as there is fan,,,,,,,7,,,5,4,5,4,better,better,better,worse,worse,better,worse,6,No,,No,,assure to return in good condition
baseline,yes,yes,11/23/14,village1,B-03,B,yes,yes,no,no,,,yes,female,35,3,1,1,1,0,no,1,3,yes,collect,,,1,,1,6,,6,,,,yes,3,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel time and again,not fit for cooking rice for more members,,,1,,1,,6,5,4,3,4,4,less smoke,less fuel consumption and quick cooking,fit for small family,,,,,,,7,,,6,6,6,5,better,better,better,better,better,better,worse,7,Interested to buy if available at Rs. 600/- or less,,Rs. 10- to 15 can be given for the weekly rent,,promised to keep the chulla safely.
baseline,yes,yes,12/7/14,village2,B-09,B,yes,yes,no,,,,yes,female,35,3,1,1,1,0,no,1,3,yes,collect,,,3,,3,6,,6,,,,yes,2,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,not fit for cooking rice,too small in size,1,1,,,,4,5,4,7,5,3,less wood required,less smoke,quick cooking,,,,,,,7,,,6,7,6,4,better,worse,better,better,worse,better,worse,6,yes if available with Rs.500 or less,,Rs 20,,
baseline,yes,yes,12/21/14,village3,B-10,B,yes,yes,no,,,,yes,female,35,2,1,1,0,0,no,1,3,no,collect,,,1,,1,7,8,7.5,,,,yes,1,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,crop residues,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,problem in making the fuel small pieces,frequently lifting the pot from the chulla and adding fuel is not interesting,1,1,1,,,5,3,1,4,2,2,less wood required,less smoke,quick cooking,,,,,,,6,,,6,5,4,3,better,better,better,better,worse,better,worse,4,Rs 200 to 300,,Rs 30-40,,take care of the chulla
baseline,yes,yes,12/21/14,village3,B-11,B,yes,yes,no,,,,yes,female,25,2,1,1,0,0,no,1,2,no,collect,,,1,,1,7,8,7.5,,,,yes,1,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,crop residues,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is too small,adding fuel from top putting the pot down frequently,making small pieces of the wood,1,1,1,,,5,3,2,6,3,2,quick to cook,less wood is required,less smoke emited,,,,,,,6,,,6,5,5,4,better,better,better,better,worse,better,worse,4,Rs 300 to Rs 400,,Rs. 60 - 70,,use with all care
baseline,yes,yes,12/7/14,village2,B-06,B,yes,yes,no,,,,yes,female,28,4,2,2,0,0,no,1,3,no,collect,,,2,3,2.5,1,2,1.5,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is too small,only suitable to cook for less people,no USB facility,1,,,1,1,5,3,4,6,5,2,less smoke emitted,tea and snacks can be cooked quickly,less wood required,,,,,,,7,,,5,4,3,5,better,better,better,worse,worse,better,worse,5,no,,no,,take care of the chulla and will not break any part
baseline,yes,yes,12/21/14,village3,B-01,B,yes,yes,no,,,,yes,female,35,4,2,1,0,1,no,1,4,no,collect,,,2,,2,5,,5,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,required to add wood again and again,too small in size,frequently one has to put the pot down,1,1,,,,7,5,5,4,5,5,less smoke emitted,less wood is required,quick cooking,,,,,,,7,,,7,6,5,4,better,worse,better,better,worse,better,worse,4,Rs 500,,Rs 20,,
baseline,yes,yes,12/21/14,village3,B-02,B,yes,yes,no,,,,yes,female,25,4,2,1,0,1,no,1,4,yes,collect,,,1,,1,5,,5,,,,yes,1,week,,10,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,can not put big vessels,diifficult to cook curry,1,1,,1,,5,5,4,7,5,4,less smoke emitted,cooking is faster,less wood required,,,,,,,7,,,7,7,7,5,better,worse,better,better,worse,better,worse,4,Rs500,,Rs 10,,
baseline,yes,yes,12/7/14,village2,B-02,B,yes,yes,no,,,,yes,female,25,5,2,1,0,2,no,1,2,no,collect,,,2,,2,4,,4,,,,yes,4,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is too small,,,1,,,,,3,5,5,7,5,5,less wood required,less smoke,quick cooking,,,,,,,5,,,5,6,6,5,better,better,better,better,worse,better,worse,6,no,,no,,
baseline,yes,yes,12/7/14,village2,B-12,B,yes,yes,no,,,,yes,female,25,6,2,1,0,3,no,1,5,yes,collect,,,2,,2,6,,6,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,not fit for cooking food for more people,frequently lifting the pot from the chulla and adding fuel is not interesting,1,1,,1,,5,5,5,7,5,3,less smoke emitted,less wood is required,quick cooking,,,,,,,7,,,7,7,7,4,better,worse,better,better,worse,better,worse,5,no,,no,,
baseline,yes,yes,12/7/14,village2,B-11,B,yes,yes,no,,,,yes,female,30,6,2,1,3,0,no,1,3,yes,collect,,,2,,2,6,7,6.5,,,,yes,2,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,crop residues,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is too small,adding fuel from top putting the pot down frequently,making small pieces of the wood,1,1,1,,,5,5,2,6,4,4,quick to cook,less wood is required,less smoke emited,,,,,,,5,,,6,6,5,5,better,worse,better,worse,worse,better,worse,6,Rs 100 to Rs 200,,Rs. 5 to 6,,I love this chulla and shall take care of it
baseline,yes,yes,12/21/14,village3,B-12,B,yes,yes,no,,,,yes,female,40,5,2,1,2,0,no,1,2,no,collect,,,2,,2,7,8,7.5,,,,yes,2,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,adding fuel from top putting the pot down frequently,not possible to cook for more people,1,1,,1,,5,4,3,4,3,2,cooking in less time,less fuel consumed,less smoke emited,,,,,,,5,,,6,5,6,4,better,better,better,better,worse,better,worse,4,Rs 300 - to 400,,Rs 50 to 60,,shall use the chulla with all care
baseline,yes,yes,12/7/14,village2,B-07,B,yes,yes,no,,,,yes,female,35,6,3,3,0,0,no,1,2,no,collect,,,2,,2,6,7,6.5,,,,yes,1,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,crop residues,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is too small,adding fuel from top putting the pot down frequently,,1,1,,,,4,3,3,5,5,4,less smoke emitted,less wood is required,quick cooking,,,,,,,5,,,6,4,4,3,better,worse,better,worse,worse,better,worse,6,yes Rs 300 to Rs 400,,Rs 50 to 60,,will use very carefully
